scope,mu_R_lambda_mean,mu_R_lambda_std,sigma_theta_mean,sigma_theta_std,theta_beta_mean,theta_beta_std,sigma_R_mean,sigma_R_std,mu_Omega_mean,mu_Omega_std,theta_Omega_mean,theta_Omega_std,pct_anyWithin5,pct_allBeyond20,pct_defenderBetween,pct_clustered
cond0,18.1341,6.4151,0.0613212,0.0178678,0.327295,0.593935,1.01082,0.279781,0,0,0,0,0,15,95,100
cond1,18.2325,5.45972,0.0630687,0.0184875,0.174825,0.401364,0.9773,0.327007,0.213375,3.01003,0.000930814,0.0131308,0,12.5,97.5,99.5
cond2,17.3521,5.813,0.0665664,0.018495,0.246933,0.485466,1.03956,0.491182,0.309753,3.08226,0.0020115,0.0200928,0,13,96.5,99
cond3,18.0921,6.00914,0.061377,0.0159457,0.206141,0.445409,0.980005,0.244203,0.401118,3.99111,0.00259774,0.0258898,0,13,97,99
cond4,17.7873,5.48933,0.0644818,0.0197836,0.184328,0.416246,1.06186,0.545481,0.357314,3.56247,0.00231159,0.0231176,0,13.5,97,99
cond5,19.293,5.32553,0.0594048,0.0193427,0.116815,0.269464,1.13408,0.866689,0.328724,3.2715,0.00106461,0.0107652,0,23.5,99,99
cond6,17.5547,5.06549,0.066085,0.0209461,0.259307,0.492126,0.999755,0.388972,0.378278,3.76603,0.00248487,0.0248415,0,11.5,97,99
cond7,17.8629,5.39675,0.0662357,0.0225187,0.229156,0.483369,1.01196,0.423155,0.923266,5.76694,0.00775254,0.0487678,0,12.5,96.5,97.5
cond8,17.8303,5.21983,0.0666661,0.0242499,0.217301,0.50728,1.13843,0.855449,1.00831,5.73594,0.00653936,0.0380919,0,19,96.5,97
cond9,17.2939,5.05205,0.0627108,0.0163609,0.18535,0.409408,1.00053,0.280839,0,0,0,0,0,11.5,97.5,100
cond10,17.1476,4.16766,0.0648108,0.0158348,0.229825,0.483037,1.03501,0.540451,0,0,0,0,0,10,95,100
cond11,17.62,3.92575,0.0618891,0.0151834,0.138271,0.347084,1.0977,0.632507,0.18159,2.56164,0.000925977,0.0130625,0,13.5,98.5,99.5
cond12,16.9731,4.93022,0.0670917,0.019566,0.262041,0.493622,0.996794,0.299582,0.379792,3.7792,0.00227963,0.0226862,0,11.5,96,99
cond13,18.5242,4.8598,0.0626991,0.0198894,0.124635,0.325097,1.05593,0.595786,0.197605,2.78756,0.000880004,0.012414,0,20.5,98,99.5
cond14,17.0438,3.86536,0.0682525,0.0210071,0.235683,0.537348,1.11451,0.842151,0.635216,4.46859,0.00458962,0.0324838,0,11,96,98
cond15,17.4256,4.36473,0.0648092,0.0206348,0.182323,0.416142,1.02681,0.287403,0.317795,3.16244,0.00299664,0.0298317,0,12.5,97.5,99
cond16,17.7014,4.03406,0.0642751,0.0225098,0.187722,0.316305,1.09189,0.557905,0.520871,4.22315,0.0035423,0.0287129,0,11,99.5,98.5
cond17,17.4014,3.50139,0.0649172,0.0240566,0.194763,0.448015,1.14143,0.823065,0.5051,3.57752,0.00580528,0.0413379,0,10.5,97,98
cond18,18.0638,5.09881,0.0605371,0.0158285,0.147659,0.346115,0.999598,0.321408,0,0,0,0,0,11.5,98.5,100
cond19,18.2289,4.44055,0.0602703,0.015021,0.166606,0.426085,1.06175,0.530817,0.1871,2.63937,0.00109636,0.0154661,0,13,97.5,99.5
cond20,18.2451,4.04705,0.0611119,0.016165,0.0703266,0.18768,1.11103,0.738338,0.391488,3.89566,0.000446106,0.00613668,0,14,99,99
cond21,17.7874,4.69816,0.0613698,0.0165464,0.145561,0.395418,1.02582,0.358694,0,0,0,0,0,10.5,98,100
cond22,18.2394,5.07003,0.0611115,0.0169385,0.216442,0.360321,1.046,0.505103,0.436046,3.54744,0.00232116,0.0192966,0,13,99.5,98.5
cond23,17.9636,4.92118,0.0659469,0.0216451,0.168389,0.419853,1.13498,0.864364,0.299334,2.98251,0.00195008,0.0194346,0,18.5,97,99
cond24,18.562,5.38834,0.0603675,0.0167786,0.185491,0.430994,1.04151,0.49823,0.852769,5.9702,0.00433332,0.0304199,0,12.5,97.5,98
cond25,18.3838,5.27594,0.0636443,0.0220733,0.153347,0.422503,1.08334,0.577023,0.555736,4.50356,0.00333694,0.0271095,0,21.5,97.5,98.5
cond26,17.7572,5.61114,0.0664802,0.0207571,0.228793,0.487247,1.14203,0.904293,0.699094,4.39364,0.0037836,0.0246655,0,14,96.5,97.5
pooled,17.8704,5.01749,0.0636112,0.0194066,0.192049,0.431819,1.05779,0.581472,0.373321,3.59177,0.00236963,0.0236252,0,13.8519,97.3333,98.9074
